id,sport_id,event_name
1,1,Basketball Men's Basketball
2,2,Judo Men's Extra-Lightweight
3,3,Football Men's Football
4,4,Tug-Of-War Men's Tug-Of-War
5,5,Speed Skating Women's 500 metres
6,5,"Speed Skating Women's 1,000 metres"
7,6,Cross Country Skiing Men's 10 kilometres
8,6,Cross Country Skiing Men's 50 kilometres
9,6,Cross Country Skiing Men's 10/15 kilometres Pursuit
10,6,Cross Country Skiing Men's 4 x 10 kilometres Relay
11,6,Cross Country Skiing Men's 30 kilometres
12,7,Athletics Women's 100 metres
13,7,Athletics Women's 4 x 100 metres Relay
14,8,Ice Hockey Men's Ice Hockey
15,9,Swimming Men's 400 metres Freestyle
16,10,Badminton Men's Singles
17,11,Sailing Women's Windsurfer
18,12,Biathlon Women's 7.5 kilometres Sprint
19,9,Swimming Men's 200 metres Breaststroke
20,9,Swimming Men's 400 metres Breaststroke
21,13,Gymnastics Men's Individual All-Around
22,13,Gymnastics Men's Team All-Around
23,13,Gymnastics Men's Floor Exercise
24,13,Gymnastics Men's Horse Vault
25,13,Gymnastics Men's Parallel Bars
26,13,Gymnastics Men's Horizontal Bar
27,13,Gymnastics Men's Rings
28,13,Gymnastics Men's Pommelled Horse
29,7,Athletics Men's Shot Put
30,14,"Art Competitions Mixed Sculpturing, Unknown Event"
31,15,Alpine Skiing Men's Downhill
32,15,Alpine Skiing Men's Super G
33,15,Alpine Skiing Men's Giant Slalom
34,15,Alpine Skiing Men's Slalom
35,15,Alpine Skiing Men's Combined
36,16,Handball Women's Handball
37,17,Weightlifting Women's Super-Heavyweight
38,18,"Wrestling Men's Light-Heavyweight, Greco-Roman"
39,5,Speed Skating Men's 500 metres
40,5,"Speed Skating Men's 1,500 metres"
41,13,"Gymnastics Men's Team All-Around, Free System"
42,19,Luge Women's Singles
43,20,Water Polo Men's Water Polo
44,11,Sailing Mixed Three Person Keelboat
45,21,Hockey Women's Hockey
46,22,Rowing Men's Lightweight Double Sculls
47,7,Athletics Men's Pole Vault
48,7,Athletics Men's High Jump
49,11,Sailing Men's Two Person Dinghy
50,7,"Athletics Men's 1,500 metres"
51,23,Bobsleigh Men's Four
52,9,Swimming Men's 100 metres Butterfly
53,9,Swimming Men's 200 metres Butterfly
54,9,Swimming Men's 4 x 100 metres Medley Relay
55,3,Football Women's Football
56,24,"Fencing Men's Foil, Individual"
57,24,"Fencing Men's epee, Individual"
58,24,"Fencing Men's epee, Team"
59,5,"Speed Skating Men's 5,000 metres"
60,5,"Speed Skating Men's 10,000 metres"
61,11,Sailing Mixed 8 metres
62,25,"Equestrianism Mixed Jumping, Individual"
63,6,Cross Country Skiing Men's 15 kilometres
64,26,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
65,26,"Shooting Men's Rapid-Fire Pistol, 25 metres"
66,26,Shooting Men's Trap
67,7,Athletics Men's 4 x 100 metres Relay
68,7,Athletics Men's Long Jump
69,27,Boxing Men's Light-Welterweight
70,7,Athletics Women's Javelin Throw
71,18,"Wrestling Men's Heavyweight, Freestyle"
72,28,Taekwondo Men's Flyweight
73,27,Boxing Men's Heavyweight
74,7,"Athletics Men's 5,000 metres"
75,29,"Cycling Men's Road Race, Individual"
76,29,"Cycling Men's Road Race, Team"
77,17,Weightlifting Men's Lightweight
78,17,Weightlifting Men's Middleweight
79,22,Rowing Men's Coxless Pairs
80,2,Judo Men's Half-Middleweight
81,28,Taekwondo Women's Flyweight
82,27,Boxing Men's Flyweight
83,1,Basketball Women's Basketball
84,30,Diving Men's Platform
85,31,"Canoeing Men's Canadian Doubles, 500 metres"
86,31,"Canoeing Men's Canadian Doubles, 1,000 metres"
87,31,"Canoeing Men's Kayak Fours, 1,000 metres"
88,16,Handball Men's Handball
89,22,Rowing Women's Coxless Pairs
90,27,Boxing Men's Middleweight
91,2,Judo Men's Lightweight
92,27,Boxing Men's Featherweight
93,32,Tennis Men's Doubles
94,26,Shooting Mixed Skeet
95,18,"Wrestling Men's Featherweight, Freestyle"
96,11,Sailing Mixed Two Person Heavyweight Dinghy
97,7,Athletics Women's Shot Put
98,22,Rowing Men's Coxed Eights
99,29,Cycling Women's Sprint
100,29,Cycling Women's 500 metres Time Trial
101,7,Athletics Men's 110 metres Hurdles
102,26,Shooting Mixed Trap
103,7,Athletics Women's Marathon
104,7,Athletics Men's 100 metres
105,24,"Fencing Men's Foil, Team"
106,24,"Fencing Men's Sabre, Team"
107,9,Swimming Men's 100 metres Freestyle
108,9,Swimming Men's 4 x 200 metres Freestyle Relay
109,27,Boxing Men's Lightweight
110,33,Modern Pentathlon Men's Individual
111,27,Boxing Men's Welterweight
112,22,Rowing Men's Quadruple Sculls
113,22,Rowing Men's Double Sculls
114,22,Rowing Men's Coxed Pairs
115,7,Athletics Men's 400 metres Hurdles
116,7,Athletics Men's 400 metres
117,7,Athletics Men's Hammer Throw
118,17,Weightlifting Men's Featherweight
119,7,Athletics Men's 800 metres
120,21,Hockey Men's Hockey
121,15,Alpine Skiing Women's Slalom
122,22,Rowing Women's Single Sculls
123,9,Swimming Men's 50 metres Freestyle
124,17,Weightlifting Women's Featherweight
125,20,Water Polo Women's Water Polo
126,34,Figure Skating Men's Singles
127,17,Weightlifting Men's Heavyweight
128,25,"Equestrianism Mixed Three-Day Event, Individual"
129,25,"Equestrianism Mixed Three-Day Event, Team"
130,34,Figure Skating Mixed Team
131,11,Sailing Women's Three Person Keelboat
132,29,"Cycling Women's Road Race, Individual"
133,35,Golf Women's Individual
134,36,Softball Women's Softball
135,37,Archery Women's Individual
136,18,"Wrestling Men's Heavyweight, Greco-Roman"
137,38,Volleyball Men's Volleyball
138,28,Taekwondo Women's Heavyweight
139,39,Synchronized Swimming Women's Duet
140,39,Synchronized Swimming Women's Team
141,28,Taekwondo Women's Featherweight
142,7,Athletics Men's Marathon
143,7,Athletics Men's 4 x 400 metres Relay
144,7,"Athletics Men's 10,000 metres"
145,7,"Athletics Women's 3,000 metres"
146,30,Diving Women's Platform
147,26,"Shooting Men's Air Rifle, 10 metres"
148,7,Athletics Men's 200 metres
149,17,Weightlifting Men's Flyweight
150,9,Swimming Men's 100 metres Backstroke
151,17,Weightlifting Men's Light-Heavyweight
152,18,"Wrestling Men's Lightweight, Greco-Roman"
153,24,"Fencing Men's Sabre, Individual"
154,18,"Wrestling Men's Super-Heavyweight, Greco-Roman"
155,26,"Shooting Men's Free Pistol, 50 metres"
156,26,"Shooting Men's Air Pistol, 10 metres"
157,22,Rowing Men's Coxless Fours
158,27,Boxing Men's Light-Flyweight
159,27,Boxing Men's Super-Heavyweight
160,18,"Wrestling Men's Flyweight, Greco-Roman"
161,26,"Shooting Women's Air Rifle, 10 metres"
162,17,Weightlifting Men's Middle-Heavyweight
163,7,Athletics Men's Javelin Throw
164,38,Volleyball Women's Volleyball
165,18,"Wrestling Men's Welterweight, Greco-Roman"
166,18,"Wrestling Men's Middleweight, Greco-Roman"
167,7,"Athletics Men's 3,000 metres Steeplechase"
168,18,"Wrestling Men's Middleweight, Freestyle"
169,9,Swimming Women's 100 metres Backstroke
170,9,Swimming Women's 200 metres Backstroke
171,9,Swimming Women's 4 x 100 metres Medley Relay
172,18,"Wrestling Men's Light-Heavyweight, Freestyle"
173,33,Modern Pentathlon Men's Team
174,27,Boxing Men's Bantamweight
175,7,Athletics Women's 200 metres
176,40,Table Tennis Women's Singles
177,40,Table Tennis Women's Doubles
178,26,Shooting Men's Skeet
179,9,Swimming Women's 50 metres Freestyle
180,26,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
181,7,Athletics Men's Triple Jump
182,17,Weightlifting Women's Lightweight
183,7,Athletics Women's Long Jump
184,24,"Fencing Women's epee, Individual"
185,9,Swimming Men's 200 metres Freestyle
186,9,Swimming Men's 4 x 100 metres Freestyle Relay
187,9,Swimming Men's 200 metres Backstroke
188,9,Swimming Men's 200 metres Individual Medley
189,9,Swimming Men's 400 metres Individual Medley
190,10,Badminton Women's Singles
191,27,Boxing Men's Light-Middleweight
192,32,Tennis Men's Singles
193,18,"Wrestling Men's Bantamweight, Freestyle"
194,18,"Wrestling Men's Flyweight, Freestyle"
195,7,"Athletics Women's 5,000 metres"
196,17,Weightlifting Women's Light-Heavyweight
197,17,Weightlifting Women's Heavyweight
198,7,Athletics Men's Discus Throw
199,28,Taekwondo Men's Featherweight
200,28,Taekwondo Men's Welterweight
201,2,Judo Men's Heavyweight
202,29,Cycling Men's Sprint
203,23,Bobsleigh Men's Two
